"ID";"RegioS";"Perioden";"GemiddeldeVerkoopprijs_1"
"6211";"GM0017";"2014JJ00";"  287535"
"6212";"GM0017";"2015JJ00";"  302170"
"6213";"GM0017";"2016JJ00";"  314351"
"6214";"GM0017";"2017JJ00";"  332386"
"6215";"GM0017";"2018JJ00";"  371530"
"9024";"GM0024";"1995JJ00";"   65708"
"9025";"GM0024";"1996JJ00";"   65679"
"9026";"GM0024";"1997JJ00";"   74255"
"9027";"GM0024";"1998JJ00";"   86487"
"9028";"GM0024";"1999JJ00";"   93141"
"9029";"GM0024";"2000JJ00";"  114180"
"9030";"GM0024";"2001JJ00";"  128646"
"9031";"GM0024";"2002JJ00";"  152742"
"9032";"GM0024";"2003JJ00";"  152407"
"9033";"GM0024";"2004JJ00";"  160441"
"9034";"GM0024";"2005JJ00";"  160658"
"9035";"GM0024";"2006JJ00";"  179773"
"9036";"GM0024";"2007JJ00";"  187471"
"9037";"GM0024";"2008JJ00";"  199747"
"9038";"GM0024";"2009JJ00";"  176819"
"9039";"GM0024";"2010JJ00";"  169303"
"9040";"GM0024";"2011JJ00";"  183440"
"9041";"GM0024";"2012JJ00";"  171097"
"9042";"GM0024";"2013JJ00";"  149523"
"9043";"GM0024";"2014JJ00";"  152793"
"9044";"GM0024";"2015JJ00";"  146694"
"9045";"GM0024";"2016JJ00";"  194173"
"9046";"GM0024";"2017JJ00";"  175980"
"9047";"GM0024";"2018JJ00";"  187507"
"9744";"GM1987";"1995JJ00";"   67499"
"9745";"GM1987";"1996JJ00";"   73735"
"9746";"GM1987";"1997JJ00";"   80937"
"9747";"GM1987";"1998JJ00";"   90496"
"9748";"GM1987";"1999JJ00";"  100224"
"9749";"GM1987";"2000JJ00";"  124685"
"9750";"GM1987";"2001JJ00";"  139195"
"9751";"GM1987";"2002JJ00";"  157011"
"9752";"GM1987";"2003JJ00";"  166474"
"9753";"GM1987";"2004JJ00";"  160129"
"9754";"GM1987";"2005JJ00";"  162149"
"9755";"GM1987";"2006JJ00";"  190447"
"9756";"GM1987";"2007JJ00";"  191021"
"9757";"GM1987";"2008JJ00";"  177742"
"9758";"GM1987";"2009JJ00";"  155566"
"9759";"GM1987";"2010JJ00";"  176479"
"9760";"GM1987";"2011JJ00";"  164818"
"9761";"GM1987";"2012JJ00";"  156691"
"9762";"GM1987";"2013JJ00";"  146511"
"9763";"GM1987";"2014JJ00";"  141824"
"9764";"GM1987";"2015JJ00";"  150535"
"9765";"GM1987";"2016JJ00";"  174720"
"9766";"GM1987";"2017JJ00";"  183958"
"9767";"GM1987";"2018JJ00";""
"13584";"GM0040";"1995JJ00";"   76576"
"13585";"GM0040";"1996JJ00";"   88800"
"13586";"GM0040";"1997JJ00";"   96946"
"13587";"GM0040";"1998JJ00";"   96869"
"13588";"GM0040";"1999JJ00";"  118990"
"13589";"GM0040";"2000JJ00";"  140196"
"13590";"GM0040";"2001JJ00";"  163383"
"13591";"GM0040";"2002JJ00";"  170266"
"13592";"GM0040";"2003JJ00";"  170629"
"13593";"GM0040";"2004JJ00";"  174788"
"13594";"GM0040";"2005JJ00";"  195079"
"13595";"GM0040";"2006JJ00";"  198406"
"13596";"GM0040";"2007JJ00";"  208870"
"13597";"GM0040";"2008JJ00";"  220804"
"13598";"GM0040";"2009JJ00";"  218601"
"13599";"GM0040";"2010JJ00";"  187206"
"13600";"GM0040";"2011JJ00";"  213565"
"13601";"GM0040";"2012JJ00";"  191872"
"13602";"GM0040";"2013JJ00";"  168967"
"13603";"GM0040";"2014JJ00";"  176786"
"13604";"GM0040";"2015JJ00";"  193719"
"13605";"GM0040";"2016JJ00";"  201318"
"13606";"GM0040";"2017JJ00";"  234489"
"13607";"GM0040";"2018JJ00";""
"14568";"GM1730";"1995JJ00";""
"14569";"GM1730";"1996JJ00";""
"14570";"GM1730";"1997JJ00";""
"14571";"GM1730";"1998JJ00";""
"14572";"GM1730";"1999JJ00";"  128198"
"14573";"GM1730";"2000JJ00";"  167913"
"14574";"GM1730";"2001JJ00";"  193475"
"14575";"GM1730";"2002JJ00";"  208101"
"14576";"GM1730";"2003JJ00";"  202837"
"14577";"GM1730";"2004JJ00";"  223887"
"14578";"GM1730";"2005JJ00";"  234087"
"14579";"GM1730";"2006JJ00";"  239156"
"14580";"GM1730";"2007JJ00";"  262361"
"14581";"GM1730";"2008JJ00";"  272412"
"14582";"GM1730";"2009JJ00";"  244327"
"14583";"GM1730";"2010JJ00";"  247609"
"14584";"GM1730";"2011JJ00";"  254612"
"14585";"GM1730";"2012JJ00";"  231622"
"14586";"GM1730";"2013JJ00";"  219146"
"14587";"GM1730";"2014JJ00";"  232828"
"14588";"GM1730";"2015JJ00";"  240252"
"14589";"GM1730";"2016JJ00";"  262004"
"14590";"GM1730";"2017JJ00";"  273808"
"14591";"GM1730";"2018JJ00";"  311688"
"14952";"GM0047";"1995JJ00";"   62633"
"14953";"GM0047";"1996JJ00";"   68196"
"14954";"GM0047";"1997JJ00";"   72862"
"14955";"GM0047";"1998JJ00";"   83569"
"14956";"GM0047";"1999JJ00";"   95479"
"14957";"GM0047";"2000JJ00";"  100755"
"14958";"GM0047";"2001JJ00";"  120481"
"14959";"GM0047";"2002JJ00";"  130553"
"14960";"GM0047";"2003JJ00";"  137740"
"14961";"GM0047";"2004JJ00";"  141701"
"14962";"GM0047";"2005JJ00";"  143828"
"14963";"GM0047";"2006JJ00";"  156333"
"14964";"GM0047";"2007JJ00";"  162491"
"14965";"GM0047";"2008JJ00";"  164079"
"14966";"GM0047";"2009JJ00";"  153928"
"14967";"GM0047";"2010JJ00";"  152994"
"14968";"GM0047";"2011JJ00";"  154100"
"14969";"GM0047";"2012JJ00";"  145414"
"14970";"GM0047";"2013JJ00";"  137586"
"14971";"GM0047";"2014JJ00";"  142885"
"14972";"GM0047";"2015JJ00";"  144501"
"14973";"GM0047";"2016JJ00";"  133346"
"14974";"GM0047";"2017JJ00";"  158614"
"14975";"GM0047";"2018JJ00";"  173373"
